shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
0,point,,0,352.79999999999995,735,
1,point,,0,370.29999999999995,730.0999999999999,
2,point,,0,468.29999999999995,709.8,
3,point,,0,492.09999999999997,709.0999999999999,
4,point,,0,585.1999999999999,704.9,
5,point,,0,606.9,706.3,
6,point,,0,679,741.3,
7,point,,0,681.8,716.8,
8,point,,0,700.6999999999999,804.3,
9,point,,0,681.0999999999999,667.0999999999999,
10,point,,0,618.0999999999999,606.9,
11,point,,0,639.8,627.9,
12,point,,0,646.0999999999999,571.1999999999999,
13,point,,0,693,613.9,
14,point,,0,650.3,464.09999999999997,
15,point,,0,648.9,443.09999999999997,
16,point,,0,681.8,454.99999999999994,
17,point,,0,697.9,445.19999999999993,
18,point,,0,685.3,426.29999999999995,
19,point,,0,679.6999999999999,356.99999999999994,
20,point,,0,753.9,282.80000000000007,
21,point,,0,725.1999999999999,207.20000000000005,
22,point,,0,641.9,238,
23,point,,0,581.6999999999999,291.9,
24,point,,0,594.3,249.89999999999998,
25,point,,0,571.1999999999999,308.70000000000005,
26,point,,0,553,310.1,
27,point,,0,564.9,254.10000000000002,
28,point,,0,480.9,268.1,
29,point,,0,399,273.70000000000005,
30,point,,0,326.2,235.89999999999998,
31,point,,0,326.9,258.30000000000007,
32,point,,0,359.09999999999997,224,
33,point,,0,359.79999999999995,279.30000000000007,
34,point,,0,328.29999999999995,412.99999999999994,
35,point,,0,357.7,398.99999999999994,
36,point,,0,357,384.99999999999994,
37,point,,0,329,436.79999999999995,
38,point,,0,329,457.79999999999995,
39,point,,0,361.9,489.29999999999995,
40,point,,0,354.9,571.1999999999999,
41,point,,0,130.9,569.8,
42,point,,0,112.69999999999999,569.0999999999999,
43,point,,0,179.89999999999998,562.0999999999999,
44,point,,0,324.09999999999997,634.1999999999999,
45,point,,0,357,636.3,
46,point,,0,382.2,608.3,
47,point,,0,438.9,326.20000000000005,
